,State,Year,Quater,District,RegisteredUser
0,arunachal-pradesh,2022,4,791110,40977
1,arunachal-pradesh,2022,4,791111,36205
2,arunachal-pradesh,2022,4,791113,26077
3,arunachal-pradesh,2022,4,791102,25161
4,arunachal-pradesh,2022,4,791001,19310
5,arunachal-pradesh,2022,4,792103,19033
6,arunachal-pradesh,2022,4,792001,15408
7,arunachal-pradesh,2022,4,790104,13837
8,arunachal-pradesh,2022,4,792110,13271
9,arunachal-pradesh,2022,4,791109,12089
10,arunachal-pradesh,2022,2,791110,36914
11,arunachal-pradesh,2022,2,791111,32620
12,arunachal-pradesh,2022,2,791113,23506
13,arunachal-pradesh,2022,2,791102,22850
14,arunachal-pradesh,2022,2,791001,17531
15,arunachal-pradesh,2022,2,792103,17259
16,arunachal-pradesh,2022,2,792001,13915
17,arunachal-pradesh,2022,2,790104,12565
18,arunachal-pradesh,2022,2,792110,12124
19,arunachal-pradesh,2022,2,791109,10908
20,arunachal-pradesh,2022,1,791110,34915
21,arunachal-pradesh,2022,1,791111,30912
22,arunachal-pradesh,2022,1,791113,22258
23,arunachal-pradesh,2022,1,791102,21601
24,arunachal-pradesh,2022,1,791001,16600
25,arunachal-pradesh,2022,1,792103,16282
26,arunachal-pradesh,2022,1,792001,13172
27,arunachal-pradesh,2022,1,790104,11905
28,arunachal-pradesh,2022,1,792110,11479
29,arunachal-pradesh,2022,1,791109,10306
30,arunachal-pradesh,2022,3,791110,39026
31,arunachal-pradesh,2022,3,791111,34393
32,arunachal-pradesh,2022,3,791113,24830
33,arunachal-pradesh,2022,3,791102,24093
34,arunachal-pradesh,2022,3,791001,18476
35,arunachal-pradesh,2022,3,792103,18186
36,arunachal-pradesh,2022,3,792001,14676
37,arunachal-pradesh,2022,3,790104,13227
38,arunachal-pradesh,2022,3,792110,12755
39,arunachal-pradesh,2022,3,791109,11498
40,arunachal-pradesh,2021,4,791110,32931
41,arunachal-pradesh,2021,4,791111,29128
42,arunachal-pradesh,2021,4,791113,20914
43,arunachal-pradesh,2021,4,791102,20261
44,arunachal-pradesh,2021,4,791001,15589
45,arunachal-pradesh,2021,4,792103,15154
46,arunachal-pradesh,2021,4,792001,12358
47,arunachal-pradesh,2021,4,790104,11211
48,arunachal-pradesh,2021,4,792110,10752
49,arunachal-pradesh,2021,4,791109,9729
50,arunachal-pradesh,2021,2,791110,28553
51,arunachal-pradesh,2021,2,791111,25349
52,arunachal-pradesh,2021,2,791113,18141
53,arunachal-pradesh,2021,2,791102,17388
54,arunachal-pradesh,2021,2,791001,13401
55,arunachal-pradesh,2021,2,792103,12890
56,arunachal-pradesh,2021,2,792001,10617
57,arunachal-pradesh,2021,2,790104,9711
58,arunachal-pradesh,2021,2,792110,9156
59,arunachal-pradesh,2021,2,791109,8470
60,arunachal-pradesh,2021,1,791110,26578
61,arunachal-pradesh,2021,1,791111,23660
62,arunachal-pradesh,2021,1,791113,16942
63,arunachal-pradesh,2021,1,791102,16191
64,arunachal-pradesh,2021,1,791001,12442
65,arunachal-pradesh,2021,1,792103,11916
66,arunachal-pradesh,2021,1,792001,9875
67,arunachal-pradesh,2021,1,790104,9066
68,arunachal-pradesh,2021,1,792110,8458
69,arunachal-pradesh,2021,1,791109,7917
70,arunachal-pradesh,2021,3,791110,30734
71,arunachal-pradesh,2021,3,791111,27265
72,arunachal-pradesh,2021,3,791113,19520
73,arunachal-pradesh,2021,3,791102,18855
74,arunachal-pradesh,2021,3,791001,14519
75,arunachal-pradesh,2021,3,792103,14068
76,arunachal-pradesh,2021,3,792001,11487
